title,scored_by,popularity,members,premiered,genre
Detective Conan Movie 21: The Crimson Love Letter,3793,3781,9371,,"Action, Mystery, Historical, Police, Drama, Romance"
Kakko Kawaii Sengen!,209,8758,771,Fall 2010,Comedy
Punky Funky Baby,86,10291,331,,Hentai
Na mo Nai Hana no Youni,14,14099,40,,Music
Mechakko Dotakon,33,11455,182,Spring 1981,"Comedy, Sci-Fi"
Hello Kitty no Yume no Oshiro no Ouji-sama,29,12295,132,,"Fantasy, Kids"
Zettai Karen Children OVA: Aitazousei! Ubawareta Mirai?,2156,4887,4971,Summer 2002,"Action, Comedy, Shounen, Supernatural"
Raja Maharaja,110,11088,216,,"Music, Slice of Life"
Ranma ½: DoCo Music Video,750,6632,2224,,"Comedy, Martial Arts, Music, Slice of Life"
Umbrella Fighter!,12,14092,42,Summer 2002,Slice of Life
Akai Jitensha,51,12079,142,,"Music, Kids"
Zhan Long Si Qu,26,11962,150,Summer 2002,"Kids, Cars"
Tang Lang Bu Chan,109,11021,223,,Historical
To Heart 2 AD Plus,1526,5208,4230,,Romance
Donna Donna,109,10831,244,,"Music, Slice of Life, Kids"
Gundress,1012,6461,2415,,"Action, Mecha, Sci-Fi"
Ojamajo Doremi Dokkaan!,3552,4014,8061,Winter 2002,"Comedy, Magic, Shoujo"
Danna ga Nani wo Itteiru ka Wakaranai Ken,102220,440,180124,Fall 2014,"Slice of Life, Comedy, Romance, Seinen"
Igano Kabamaru,2651,4412,6408,Fall 1983,"Action, Adventure, Comedy, Romance, School, Shounen"
Mobile Suit Gundam Unicorn RE:0096,5709,3012,15577,Spring 2016,"Action, Drama, Mecha, Military, Sci-Fi, Space"
Hataraku Maou-sama!,389033,51,630486,Spring 2013,"Comedy, Demons, Supernatural, Romance, Fantasy"
Shin Maple Town Monogatari: Palm Town-hen - Konnichiwa! Atarashii Machi,67,10740,258,,"Slice of Life, Fantasy"
D.C.II S.S.: Da Capo II Second Season,10514,2470,23096,Spring 2008,"Fantasy, Comedy, Harem, Romance, Drama"
Kurogane no Linebarrels Picture Drama,44,10247,337,,Mecha
Landscape,106,11133,211,,Dementia
Only You: Viva! Cabaret Club,9,12545,121,Fall 1998,Comedy
Bakuretsu Tenshi: Infinity,5735,3333,12750,Fall 2014,"Action, Comedy, Mecha, Sci-Fi, Shounen"
Fairy Tail Movie 1: Houou no Miko - Hajimari no Asa,25272,1572,47965,,"Fantasy, Magic, Shounen"
Dominion,4693,3722,9711,,"Sci-Fi, Comedy, Police, Mecha"
Darker than Black: Kuro no Keiyakusha,285107,61,563076,Spring 2007,"Action, Sci-Fi, Mystery, Super Power"
Teekyuu,18133,1715,42517,Fall 2012,"Comedy, School, Shounen, Sports"
Aoi Bungaku Series,37344,724,118834,Fall 2009,"Psychological, Historical, Thriller, Drama, Seinen"
Glass no Kamen Desu ga to Z,69,9777,435,Spring 2013,"Comedy, Parody"
Mofa Ya Ma,57,11648,171,,"Adventure, Fantasy"
Natsuyuki Rendezvous,22974,1518,51051,Summer 2012,"Supernatural, Drama, Romance, Josei"
